wavelength_nm,transmission
400.0,0.0
405.0,0.003
410.0,0.006
415.0,0.078
420.0,0.301
425.0,0.506
430.0,0.612
435.0,0.676
440.0,0.716
445.0,0.753
450.0,0.784
455.0,0.813
460.0,0.839
465.0,0.856
470.0,0.876
475.0,0.896
480.0,0.918
485.0,0.939
490.0,0.953
495.0,0.971
500.0,0.981
505.0,0.99
510.0,0.995
515.0,1.0
520.0,0.997
525.0,0.988
530.0,0.98
535.0,0.96
540.0,0.937
545.0,0.908
550.0,0.874
555.0,0.828
560.0,0.775
565.0,0.719
570.0,0.658
575.0,0.594
580.0,0.524
585.0,0.46
590.0,0.391
595.0,0.329
600.0,0.271
605.0,0.219
610.0,0.173
615.0,0.135
620.0,0.103
625.0,0.077
630.0,0.057
635.0,0.042
640.0,0.031
645.0,0.02
650.0,0.014
655.0,0.012
660.0,0.007
665.0,0.005
670.0,0.0
