wavelength_nm,transmission
680.0,0.0
685.0,0.001
690.0,0.003
695.0,0.015
700.0,0.087
705.0,0.262
710.0,0.48
715.0,0.633
720.0,0.707
725.0,0.777
730.0,0.851
735.0,0.934
740.0,0.98
745.0,0.993
750.0,1.0
755.0,0.936
760.0,0.709
765.0,0.716
770.0,0.917
775.0,0.959
780.0,0.945
785.0,0.934
790.0,0.927
795.0,0.923
800.0,0.931
805.0,0.929
810.0,0.902
815.0,0.826
820.0,0.784
825.0,0.733
830.0,0.643
835.0,0.565
840.0,0.576
845.0,0.734
850.0,0.554
855.0,0.123
860.0,0.028
865.0,0.009
870.0,0.004
875.0,0.002
880.0,0.0
