wavelength_nm,transmission
480.0,0.0
485.0,0.002
490.0,0.008
495.0,0.012
500.0,0.021
505.0,0.034
510.0,0.051
515.0,0.07
520.0,0.097
525.0,0.141
530.0,0.218
535.0,0.354
540.0,0.572
545.0,0.772
550.0,0.951
555.0,0.932
560.0,0.953
565.0,0.962
570.0,0.926
575.0,0.943
580.0,0.947
585.0,0.937
590.0,0.946
595.0,0.947
600.0,0.927
605.0,0.919
610.0,0.898
615.0,0.895
620.0,0.926
625.0,0.945
630.0,0.966
635.0,0.974
640.0,0.947
645.0,0.97
650.0,1.0
655.0,0.928
660.0,0.907
665.0,0.986
670.0,0.99
675.0,0.923
680.0,0.858
685.0,0.782
690.0,0.849
695.0,0.631
700.0,0.21
705.0,0.093
710.0,0.071
715.0,0.052
720.0,0.017
725.0,0.006
730.0,0.0
