wavelength_nm,transmission
810.0,0.0
815.0,0.008
820.0,0.019
825.0,0.046
830.0,0.102
835.0,0.203
840.0,0.347
845.0,0.502
850.0,0.653
855.0,0.782
860.0,0.876
865.0,0.935
870.0,0.979
875.0,0.995
880.0,1.0
885.0,0.982
890.0,0.946
895.0,0.845
900.0,0.773
905.0,0.764
910.0,0.719
915.0,0.699
920.0,0.708
925.0,0.661
930.0,0.493
935.0,0.348
940.0,0.361
945.0,0.35
950.0,0.341
955.0,0.35
960.0,0.368
965.0,0.407
970.0,0.432
975.0,0.424
980.0,0.402
985.0,0.378
990.0,0.355
995.0,0.334
1000.0,0.312
1005.0,0.291
1010.0,0.27
1015.0,0.25
1020.0,0.225
1025.0,0.203
1030.0,0.181
1035.0,0.159
1040.0,0.134
1045.0,0.112
1050.0,0.091
1060.0,0.048
1070.0,0.0
