filter_id,lambda_eff_nm,lambda_mean_nm,lambda_pivot_nm,fwhm_nm,width_eff_nm,mag_sys,zeropoint_jy,fsun
SLOAN/SDSS.u,360.80403153219,357.21824003193,355.65239668607,56.579845192387,54.09711258677599,Vega,1582.537065543,103.21344236463
SLOAN/SDSS.g,467.17822137652,475.08231056844,470.24953002766995,117.56316026520001,106.46831251068,Vega,4023.5732569791,187.21772917722
SLOAN/SDSS.r,614.1123003937699,620.42897962265,617.55788653918,113.05579503183999,105.55126512193999,Vega,3177.3783043241,169.25274970171
SLOAN/SDSS.i,745.7889035897,751.92690306904,748.9976968011799,125.33047916415,110.2565344818,Vega,2593.3980773509,126.83886725213
SLOAN/SDSS.z,892.27797236408,899.22620587087,894.67096125035,99.849633079646,116.40149198604999,Vega,2238.9943970249,90.54973869077
SkyMapper/SkyMapper.u,350.02230512667,350.3062214414,349.33593949443997,42.400690507376,41.885721141226,Vega,1316.7894384061,102.43908320427
SkyMapper/SkyMapper.v,387.8683052362,384.12986707807,383.59278871187996,31.050933550032,31.905870234184,Vega,2674.4297228133,120.81139158799
SkyMapper/SkyMapper.g,501.60525131184005,514.80580140326,507.51941641679997,156.58323227746,145.06001678194,Vega,3849.0251609628,188.85640149414
SkyMapper/SkyMapper.r,607.68494151933,619.45713154054,613.84403309501,155.81546034685,141.40494497211,Vega,3224.2463681719,168.56623187902
SkyMapper/SkyMapper.i,773.2832995838,779.91643926413,776.79762950059,139.78147315147,124.61993333333001,Vega,2485.8085265204,119.01171904774
SkyMapper/SkyMapper.z,912.02539124454,919.4216162578499,914.5992922826499,85.09045765481099,115.85661044788999,Vega,2212.9834207996,86.482524096238
Paranal/VISTA.Y,1019.6438026756001,1022.3368007678,1021.0706524228001,91.763344217585,86.94489900532099,Vega,2063.5759584507,69.779114827349
Paranal/VISTA.J,1248.1040341623,1255.620281425,1252.5248680385998,171.34038664707,154.13793097077001,Vega,1533.4568782913,44.456302384594
Paranal/VISTA.H,1634.7740041298,1649.9013137155002,1643.2749226193998,289.40820895602,267.31668959527,Vega,1015.5978854334,22.59692581778
Paranal/VISTA.Ks,2143.5422066736,2157.805660166,2152.1671921971,305.74329064116,279.34334964532,Vega,659.09409621139,8.9267757961686
