object_id,stratum,fold
1,C,9
10,C,1
100756,Sq,1
101,S,5
1011,S,4
1015,Cg,9
1020,Sr,4
1021,B,2
103,S,7
1036,S,6
105,Ch,6
106,Cgh,0
1065,S,9
1076,B,7
108,S,8
1094,Xk,2
11,Sq,5
110,Xk,1
111,Ch,0
1126,S,5
113,Q,4
1131,S,8
1139,S,1
114,K,0
1143,D,8
1147,S,4
1148,K,1
115,S,3
11500,Sq,4
117,Xc,3
118,S,4
119,S,3
1198,S,8
1204,S,3
121,X,6
1228,Sr,3
128,C,4
13,Ch,3
130,Ch,4
1300,Cgh,6
131,K,3
132,Xe,7
1329,Sq,6
133,S,6
1332,L,6
1350,S,0
137062,Sr,4
1374,Sq,9
137799,Sq,3
137805,B,7
138258,Sq,6
138524,Sr,6
139622,Sq,2
14,S,8
1406,D,1
141,X,4
142,Cb,4
1433,S,5
145,X,0
1459,V,1
147,C,3
1471,D,6
1494,Sq,1
15,K,0
150,C,1
1508,B,0
151,S,9
152563,Sr,2
152931,Q,2
153,X,5
153201,X,3
1542,D,3
1565,S,2
15745,S,7
158,S,7
16,Xk,6
160,Xk,1
1620,S,9
162058,Q,5
162173,B,5
1627,Sq,5
162781,S,0
163000,Sv,4
164,C,4
1640,S,7
1642,S,0
1658,S,2
1659,S,9
1660,S,3
1662,Sr,5
1667,S,1
168,X,1
16834,Sq,4
1685,Sq,7
16960,Q,3
17,S,2
170,S,4
17274,D,6
173,Xc,2
175,Cg,7
1751,S,5
17511,S,8
175706,C,0
1768,C,2
18,S,4
180,Sr,8
1807,Sq,9
181,Xk,4
1839,S,9
1848,S,5
1857,Q,3
1858,S,4
1862,Q,0
1864,Sq,2
1865,S,3
1866,S,1
18736,S,2
188,S,0
19,Ch,6
1903,K,7
1904,V,3
191,Cb,2
19127,Sr,1
1916,S,1
192,S,8
1929,V,7
19356,Sq,3
1943,S,5
194386,Sr,0
1951,A,5
196,Sq,7
1980,S,5
199,D,7
2,B,4
20,S,8
2000 PG3,D,5
2001 TX16,X,1
2001 XN254,S,9
2002 AA,S,7
2002 AV,S,2
201,Xk,8
2035,Xe,0
2042,Sr,3
2045,V,8
205,Ch,1
2062,Sq,1
2063,Sq,6
2064,Sq,7
2074,S,6
2078,S,6
20786,Sq,3
20790,S,3
208,Sq,8
2085,L,1
209,C,2
2099,Ch,3
21,Xc,6
210,Cb,5
2100,B,6
2107,S,7
214,Cgh,3
2157,S,6
216,Xe,4
219071,Q,5
22,X,8
221,K,4
2246,D,4
226,S,5
22771,S,7
23,S,1
233,Xk,5
2335,S,4
234,L,6
2340,Q,4
2353,S,6
2354,L,4
236,L,5
237,Sr,6
2378,Cgh,4
2386,S,0
2396,S,5
24,C,8
2401,S,9
243,S,9
244,S,3
2442,V,0
24475,S,7
2448,L,5
245,Sq,6
246,A,1
247,C,5
25,S,6
250,Xk,3
2501,A,2
2504,Sr,0
2521,S,3
25330,Xk,5
2566,V,8
2579,V,5
258,S,1
26,S,6
