object_id,stratum,fold
1,C,1
10,C,7
100756,S,8
101,S,1
1011,S,5
1015,C,5
1020,S,6
1021,B,2
103,S,9
1036,S,0
105,C,3
106,C,7
1065,S,2
1076,B,7
108,S,9
1094,X,9
11,S,2
110,X,4
111,C,8
1126,S,4
113,Q,2
1131,S,7
1139,S,9
114,K,0
1143,D,8
1147,S,7
1148,K,1
115,S,0
11500,S,5
117,X,8
118,S,2
119,S,2
1198,S,0
1204,S,1
121,X,4
1228,S,2
128,C,7
13,C,6
130,C,9
1300,C,1
131,K,3
132,X,5
1329,S,7
133,S,3
1350,S,9
137062,S,6
1374,S,9
137799,S,5
137805,B,7
138258,S,2
138524,S,4
139622,S,2
14,S,5
1406,D,1
141,X,9
142,C,2
1433,S,3
145,X,6
1459,V,6
147,C,5
1471,D,6
1494,S,7
15,K,0
150,C,5
1508,B,0
151,S,8
152563,S,6
152931,Q,0
153,X,2
153201,X,7
1542,D,3
1565,S,2
15745,S,0
158,S,1
16,X,5
160,X,8
1620,S,1
162058,Q,3
162173,B,5
1627,S,7
162781,S,1
163000,S,0
164,C,2
1640,S,3
1642,S,5
1658,S,9
1659,S,3
1660,S,4
1662,S,0
1667,S,7
168,X,2
16834,S,1
1685,S,4
16960,Q,1
17,S,3
170,S,2
17274,D,6
173,X,7
175,C,6
1751,S,3
17511,S,9
175706,C,6
1768,C,8
18,S,5
180,S,6
1807,S,7
181,X,1
1839,S,8
1848,S,0
1857,Q,1
1858,S,8
1862,Q,8
1864,S,7
1865,S,8
1866,S,8
18736,S,7
188,S,8
19,C,7
1903,K,7
1904,V,8
191,C,9
19127,S,3
1916,S,9
192,S,2
1929,V,2
19356,S,7
1943,S,6
194386,S,4
1951,A,5
196,S,2
1980,S,5
199,D,7
2,B,4
20,S,5
2000 PG3,D,5
2001 TX16,X,5
2001 XN254,S,2
2002 AA,S,3
2002 AV,S,3
201,X,2
2035,X,0
2042,S,9
2045,V,3
205,C,3
2062,S,0
2063,S,6
2064,S,4
2074,S,5
2078,S,4
20786,S,0
20790,S,6
208,S,5
2085,L,1
209,C,1
2099,C,6
21,X,3
210,C,3
2100,B,6
2107,S,3
214,C,9
2157,S,9
216,X,5
219071,Q,3
22,X,7
221,K,4
2246,D,4
226,S,6
22771,S,2
23,S,2
233,X,4
2335,S,4
234,L,6
2340,Q,2
2353,S,1
2354,L,4
236,L,5
237,S,6
2378,C,6
2386,S,4
2396,S,6
24,C,3
2401,S,6
243,S,6
244,S,4
2442,V,5
24475,S,1
2448,L,5
245,S,7
246,A,1
247,C,4
25,S,2
250,X,0
2501,A,2
2504,S,2
2521,S,1
25330,X,2
2566,V,3
2579,V,0
258,S,5
26,S,0
261,X,7
264,S,7
266,C,8
267,D,0
269,D,1
27,S,1
2715,S,8
2732,L,6
278,S,8
279,D,7
28,S,7
2850,S,3
2851,V,1
2873,S,8
2875,S,8
288,S,1
289,A,0
29,S,7
2911,S,3
2912,V,8
295,S,0
2956,S,9
2957,K,6
2965,S,5
2977,S,7
3,S,1
30,S,4
301,X,1
3028,K,5
308,T,4
3102,S,9
3103,X,8
3122,S,1
31345,S,1
3155,V,2
3198,S,7
3199,K,8
32,S,3
3200,B,8
322,D,5
3248,D,2
3255,S,5
3288,S,1
33,S,8
3317,D,8
3352,S,4
3363,S,9
337,X,3
337866,S,9
339,B,3
3395,S,4
34,C,9
3402,S,1
3430,S,0
345,C,3
346,S,9
3491,S,6
35107,S,0
3511,S,7
352,S,3
35396,S,2
354,A,4
3552,D,9
359,X,9
36017,S,3
36284,K,9
3635,S,9
365,X,0
3671,X,0
3674,S,8
3691,K,9
37,S,6
3701,S,6
371,S,5
3734,L,2
3753,Q,8
377,X,3
378,S,5
3788,S,3
38,C,9
3819,S,0
3833,C,2
3844,L,0
385186,S,8
3858,S,9
387,L,7
3873,S,2
389,S,5
39,S,0
3903,S,6
3908,V,9
3910,S,4
3920,S,5
3949,S,5
4,V,4
40,S,7
402,L,4
403,S,9
4038,V,7
4055,V,6
41,C,4
412,C,0
416,S,6
4179,S,7
4183,Q,0
4188,V,4
4197,S,8
42,K,2
422686,Q,7
43,S,3
433,S,8
434,X,8
4341,V,9
4352,S,5
44,X,4
4407,S,1
4417,S,9
444,C,5
4451,S,1
446,A,3
45,C,2
453,S,3
4558,S,8
456,S,6
4570,S,2
460,L,1
4660,X,6
4688,Q,9
47,X,3
4713,S,0
4737,L,3
4744,D,9
48,C,7
485,S,5
49,C,4
4954,S,4
4995,S,1
5,S,6
50,C,2
5013,S,0
51,C,1
5111,V,1
512,S,6
513,K,3
5143,Q,6
52,C,1
5230,S,9
5261,S,2
532,S,5
534,S,7
53435,S,9
5379,S,3
5392,S,8
54,C,8
5401,S,0
5407,S,6
55,X,1
5587,S,7
56,X,3
5604,V,7
5626,S,2
5641,S,4
5646,Q,9
5660,Q,5
5685,S,1
57,S,8
