object_id,stratum,fold
1,C,3
10,C,0
100756,Sq,3
101,S,0
1011,S,2
1015,C,4
1020,Sr,3
1021,B,3
103,S,2
1036,S,4
106,Ch,2
1065,S,4
1076,B,2
108,S,3
1094,X,0
11,Sq,2
110,X,1
1126,S,0
113,Q,4
1131,S,0
1139,S,0
114,K,4
1143,D,0
1147,S,4
1148,K,2
115,S,2
11500,Sq,2
117,X,1
118,S,3
119,S,3
1198,S,1
1204,S,0
121,X,3
1228,Sr,0
128,C,2
130,Ch,1
131,K,3
1329,Sq,1
133,S,4
1350,S,4
137062,Sr,0
1374,Sq,1
137799,Sq,3
137805,B,2
138258,Sq,4
138524,Sr,4
139622,Sq,4
14,S,1
1406,D,0
141,X,4
142,C,0
1433,S,4
145,X,1
1459,V,0
147,C,3
1471,D,4
1494,Sq,4
15,K,3
150,C,3
1508,B,4
151,S,0
152563,Sr,2
152931,Q,2
153,X,1
153201,X,4
1542,D,0
1565,S,3
15745,S,1
158,S,2
16,X,2
160,X,2
1620,S,3
162058,Q,2
162173,B,3
1627,Sq,2
162781,S,2
163000,S,2
164,C,3
1640,S,1
1642,S,0
1658,S,2
1659,S,2
1660,S,2
1662,Sr,2
1667,S,3
168,X,1
16834,Sq,4
1685,Sq,1
16960,Q,3
17,S,3
170,S,1
173,X,3
175,C,3
1751,S,2
17511,S,2
175706,C,1
1768,C,2
18,S,2
180,Sr,2
1807,Sq,2
181,X,3
1839,S,0
1848,S,0
1857,Q,3
1858,S,0
1862,Q,1
1864,Sq,3
1865,S,0
1866,S,3
18736,S,4
188,S,4
1903,K,1
1904,V,4
191,C,2
19127,Sr,4
1916,S,3
192,S,4
1929,V,4
19356,Sq,4
1943,S,4
194386,Sr,1
196,Sq,0
1980,S,2
199,D,4
2,B,1
20,S,4
2000 PG3,D,2
2001 TX16,X,0
2001 XN254,S,0
2002 AA,S,1
2002 AV,S,3
201,X,4
2035,X,2
2042,Sr,3
2045,V,2
205,Ch,2
2062,Sq,1
2063,Sq,1
2064,Sq,3
2074,S,0
2078,S,2
20786,Sq,1
20790,S,4
208,Sq,4
2085,L,3
209,C,2
2099,Ch,3
21,X,0
210,C,0
2100,B,0
2107,S,4
214,Ch,3
2157,S,3
216,X,2
219071,Q,3
22,X,4
221,K,2
2246,D,3
226,S,3
22771,S,1
23,S,0
233,X,3
2335,S,2
234,L,2
2340,Q,3
2353,S,1
2354,L,2
236,L,1
237,Sr,0
2378,Ch,4
2386,S,2
2396,S,0
24,C,1
2401,S,1
243,S,4
244,S,4
2442,V,3
24475,S,0
2448,L,1
245,Sq,0
247,C,0
25,S,0
250,X,0
2504,Sr,1
2521,S,0
25330,X,4
2566,V,1
2579,V,2
258,S,4
26,S,1
261,X,1
264,S,2
267,D,1
269,D,2
27,S,1
2715,S,4
2732,L,4
278,S,1
279,D,1
28,S,1
2850,S,0
2851,V,1
2873,Sq,3
2875,S,1
288,S,2
29,S,3
2911,S,3
2912,V,0
295,S,0
2956,Sq,3
2957,K,2
2965,S,2
2977,S,0
3,Sq,1
30,S,2
301,X,2
3028,K,3
3103,X,1
3122,Sq,2
31345,Sq,0
3155,V,4
3198,Sq,1
32,S,3
3200,B,4
322,D,2
3248,D,3
3255,S,1
3288,Sq,4
33,S,4
3317,D,0
3352,S,1
3363,Sr,3
337,X,4
337866,Sq,2
339,B,0
3395,S,1
3402,S,2
3430,S,3
346,S,2
3491,S,4
35107,Sq,2
3511,Sr,1
352,S,2
35396,Sq,2
3552,D,4
359,X,2
36017,S,4
36284,K,4
3635,Sr,3
365,X,2
3671,X,2
3674,Sq,4
3691,K,3
37,S,1
3701,S,4
371,S,1
3734,L,4
3753,Q,1
377,X,1
378,S,2
3788,S,2
3819,S,0
3833,C,3
3844,L,3
385186,S,1
3858,Sr,3
387,L,2
3873,S,3
389,S,1
39,Sq,4
3903,S,3
3908,V,1
3910,S,1
3920,Sq,0
3949,Sq,0
4,V,3
40,S,2
402,L,3
403,S,3
4038,V,1
4055,V,3
412,C,2
416,S,4
4179,Sq,0
4183,Q,0
4188,V,2
4197,Sq,3
42,K,4
422686,Q,0
43,Sq,4
433,S,3
434,X,4
4341,V,0
4352,S,0
44,X,3
4407,Sq,2
4417,S,3
444,C,1
4451,S,4
45,C,4
453,S,3
4558,Sr,2
456,S,4
4570,S,0
460,L,1
4660,X,3
4688,Q,1
47,X,0
4713,S,3
4737,L,0
4744,D,4
485,S,0
49,Ch,4
4954,Sr,4
4995,S,3
5,S,3
5013,S,2
5111,V,4
512,Sq,0
513,K,1
5143,Q,2
52,C,0
5230,S,4
5261,S,1
532,S,1
534,Sq,1
53435,Sr,1
5392,Sr,2
5401,S,1
5407,S,4
55,X,3
5587,Sr,0
5604,V,3
5626,S,1
5641,S,3
5646,Q,1
5660,Q,4
5685,S,0
57,S,0
570,D,1
579,K,1
58,Ch,0
5817,Sr,4
5836,Sr,3
584,S,0
5840,L,0
599,L,3
6,S,1
60,S,0
600,S,2
6047,S,2
6053,Sr,4
606,L,0
61,S,3
62,B,0
6239,Sq,3
6249,X,0
625,S,4
63,S,3
631,S,1
64,X,1
6411,B,1
6455,Sr,0
65,X,3
653,K,0
65679,C,4
6569,Sq,1
6585,S,2
661,K,4
66146,Q,4
67,S,4
670,S,0
673,L,4
675,S,0
679,L,0
68548,V,0
688,C,4
69,X,0
699,S,0
7,S,3
70,Ch,3
716,S,1
719,S,4
720,Sq,3
729,L,1
73,S,1
7304,D,2
7336,Q,2
7341,Q,0
7358,Sq,0
739,X,4
742,K,0
747,C,1
7482,Sq,0
76,C,2
77,X,2
776,Ch,1
7763,L,2
782,S,2
7822,Sr,0
785,C,1
789,X,4
79,S,3
793,S,1
8,S,4
808,Sr,2
81,C,1
82,S,1
824,L,0
832,S,3
8334,S,2
84,Ch,0
8444,S,4
845,C,1
847,S,4
85,C,0
85818,Sr,2
85989,K,0
86450,L,4
86819,Sq,0
87,X,0
88,C,4
887,S,1
89355,Sr,1
90,C,2
908,D,3
913,S,0
92,X,0
925,S,3
929,S,2
93,C,4
9400,Sr,1
944,D,1
97,X,3
985,S,4
98943,S,3
99,X,2
99907,Sr,4
